Gene;B Memory;B Naive;Basophils LD;CD4+ effector;CD8 activated;MAIT;mDCs;Monocytes C;Monocytes NC+I;Naive T cells;Neutrophils LD;NK;pDCs;Plasmablasts;VD2-;VD2+
38596;1;1;0;0;0;0;0;0;0;0;12;0;1;0;0;0
AATK;0;0;0;0;0;0;0;2;1;0;18;1;0;0;0;0
ABC7-481722F1.1;0;0;0;0;0;0;1;5;2;0;17;0;0;0;0;0
ABCB4;9;41;0;0;1;0;5;0;0;0;0;1;1;0;0;0
ABCC3;4;6;5;3;2;2;4;14;65;4;3;4;3;1;2;1
AC002480.4;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AC002480.5;2;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AC002511.3;0;0;4;0;0;0;0;3;1;0;27;0;0;0;0;0
AC007381.3;1;2;0;0;0;0;0;0;0;0;0;0;16;0;0;0
AC008074.5;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0
AC008697.1;13;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0
AC009237.17;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0
AC009238.7;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0
AC010468.2;1;0;0;19;5;10;0;0;0;44;0;0;0;0;2;9
AC011380.8;2;2;1;2;1;0;1;25;2;1;14;1;1;0;1;0
AC011893.3;0;0;0;0;0;0;0;0;0;0;0;0;78;0;0;0
AC011899.9;0;1;4;0;0;0;7;15;49;0;7;0;0;0;0;0
AC012314.19;0;3;6;1;0;2;14;32;17;0;376;0;2;0;0;0
AC018643.4;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0
AC022816.2;0;0;2;1;0;1;1;0;0;1;17;0;1;0;1;0
AC023590.1;8;6;3;6;1;5;3;2;3;6;3;3;228;3;2;1
AC068724.1;12;11;0;0;0;0;0;0;0;0;0;0;37;2;0;0
AC099552.2;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0
AC103563.5;10;1;0;1;0;0;0;0;0;0;0;0;0;62;0;0
AC103563.9;0;0;0;9;0;0;0;0;0;18;0;0;0;0;1;0
AC104809.4;1;0;0;0;0;0;0;1;164;0;0;0;0;0;0;0
ACSL1;21;12;57;8;10;7;28;145;82;5;1430;12;9;3;9;8
ADAM12;0;0;0;6;0;41;0;1;0;0;0;0;0;0;0;0
ADAMTS1;0;2;0;0;4;1;1;1;1;1;0;34;0;0;7;4
ADM;2;2;0;0;0;0;2;36;19;0;393;0;0;1;0;0
AEBP1;2;12;1;3;1;0;0;0;0;11;0;1;54;0;1;2
AF001550.9;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0
AF064858.10;0;0;12;0;0;0;1;0;0;0;0;0;0;0;0;0
AIF1;12;18;1;3;0;0;210;247;579;21;226;3;16;1;0;2
AIM2;211;45;8;6;4;3;5;11;11;1;27;2;0;22;2;3
AK8;16;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
AKAP12;0;0;125;0;0;0;0;0;0;0;0;0;0;0;0;0
AL122127.25;114;320;1;0;0;0;0;0;0;2;0;0;9;51;0;0
AL450992.2;0;0;0;17;9;62;0;0;0;2;0;3;7;0;4;17
ALDH1A1;8;7;0;0;0;0;3;190;13;0;0;0;0;1;0;0
ALG1L13P;8;4;14;1;1;0;0;2;4;1;67;0;2;1;1;0
ALPL;2;7;0;0;0;0;0;0;1;0;694;0;0;0;0;0
ALS2CL;1;0;0;26;1;1;5;3;2;22;0;0;0;0;1;1
AMIGO3;1;0;1;1;2;0;0;0;0;2;0;2;26;0;1;1
ANG;2;1;0;1;0;0;4;10;0;0;0;0;1;2;0;0
ANKRD53;0;1;0;0;0;0;0;0;0;0;0;1;18;0;0;0
ANXA3;3;1;0;0;0;0;0;0;1;0;371;1;0;4;0;0
AOC2;0;0;0;1;0;0;0;0;0;0;18;1;0;0;1;0
AOX2P;0;0;0;0;0;1;0;0;0;1;0;1;15;0;0;0
AOX3P-AOX2P;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0
AP001434.2;0;0;0;0;0;0;0;3;0;0;118;0;0;0;0;0
AP002954.4;0;1;0;3;0;0;7;25;10;6;0;4;0;0;3;1
APP;12;37;2;26;3;7;60;90;40;29;4;8;707;4;3;9
AQP9;4;7;2;0;0;0;5;148;45;0;1041;0;0;0;0;0
ARHGEF10L;2;3;0;0;0;0;32;59;31;0;0;0;0;1;0;0
ARL5C;1;2;1;1;1;1;1;2;1;2;2;1;30;0;1;0
ARVCF;1;1;0;1;1;0;1;1;1;1;0;22;0;0;4;0
